"BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00",,,,,,,,,,,,,,,,,,
Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
12MHZ_RESONATOR,RESONATORPRQC-S,RESONATORPRQC-S,PRQC,Ceramic Resonator with caps, ,1,YES,NO,Digikey,478-6318-1-ND,http://www.digikey.de/product-detail/de/PRQC12.00CR5010X000/478-6318-1-ND/2506334, , , , , , , 
32KHZ_CRYSTAL,SMD_CRYSTAL,SMD_CRYSTAL,SMD_CRYSTAL, , ,1,YES,NO,Farnell,2101349,de.farnell.com/2101349, , , , , , , 
ACCELEROMETER,ADXL345,ADXL345,LGA14, , ,1,YES,NO,Farnell,1853935,de.farnell.com/1853935, , , , , , , 
BAT,53048-02,53048-02,53048-02,CONNECTOR, ,1,YES,NO,Farnell,1012259,de.farnell.com/1012259, , , , , , , 
"C1_32KHZ, C2_32KHZ",22p,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759057,de.farnell.com/1759057, , , , , , , 
CHARGER,MAX1551,MAX1551,SOT23-5L,Dual-Input USB/AC Adapter 1-Cell Li+ Battery Chargers, ,1,YES,NO,Farnell,1628221,de.farnell.com/1628221, , , , , , , 
"C_ADX_VDD, C_UC_P37",0.1u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759016,de.farnell.com/1759016, , , , , , , 
"C_ADX_VSS, C_PWR_BAT, C_PWR_VREG, C_PWR_VUSB",1u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,4,YES,NO,Farnell,1759399,de.farnell.com/1759399, , , , , , , 
"C_PWR_SW, C_UC_VDDCORE",10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol","Capacitor, 0805, 10uF, 16V",2,YES,NO,Farnell,1759136,de.farnell.com/1759136, , , , , , , 
"C_UC_P7/8, C_UC_P28/29",0.22u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759403,de.farnell.com/1759403, , , , , , , 
"EXT, X1",PROGCON,PROGCON,53047-05-OCT,Programmer Connector, ,2,NO,,,,, , , , , , , 
LDO,MCP1824,MCP1824,SOT-23-5,MCP1824T-3302E/OT, ,1,YES,NO,Farnell,1578387,de.farnell.com/1578387, , , , , , , 
LED1, ,LEDSML0805,SML0805,LED, ,1,NO,, , ,, , , , , , , 
LIGHTSENSE,TSL250,TSL250,TSL, , ,1,NO,, , ,, , , , , , , 
PIC_CONTROLLER,PIC_P2V6,PIC_P2V6,QFN44ML8X8, , ,1,YES,NO,Farnell,1706311,de.farnell.com/1706311, , , , , , , 
"R1, R2, R3, R4, R5, R6, R7",10k,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",7,YES,NO,Farnell,1469749,de.farnell.com/1469749, , , , , , , 
R8,220,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,NO,,,,, , , , , , , 
SDCARD_CON,MICROSD_CONN,MICROSD_CONN,460DA40013, , ,1,YES,NO,Farnell,1686452,de.farnell.com/1686452, , , , , , , 
USB_CON,USBCON,USBCON,248601,MINI USB 2.0 Connector TypeB, ,1,YES,NO,Farnell,2112367,de.farnell.com/2112367, , , , , , , 
