Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
ACCERELOMETER,ADXL345,ADXL345,LGA14, , ,1,YES,NO,Farnell,1853935,de.farnell.com/1853935, , , , , , ,
BAT,53048-02,53048-02,53048-02,CONNECTOR, ,1,YES,NO,Farnell,1012259,de.farnell.com/1012259, , , , , , ,
"C1_32KHZ, C2_32KHZ",22p,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759057,de.farnell.com/1759057, , , , , , ,
CHARGER,MAX1551,MAX1551,SOT23-5L,Dual-Input USB/AC Adapter 1-Cell Li+ Battery Chargers, ,1,YES,NO,Farnell,1628221,de.farnell.com/1628221, , , , , , ,
CON_OLED,OLED_DENSITRON,OLED_DENSITRON,CON_DD-12864WE-1A, , ,1,NO,NO,Farnell,1829709,de.farnell.com/1829709, , , , , , ,
"C_ADX_VDD, C_UC_P37",0.1u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759016,de.farnell.com/1759016, , , , , , ,
"C_ADX_VSS, C_OL_VBREF, C_OL_VDD2, C_PWR_BAT, C_PWR_VREG, C_PWR_VUSB",1u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,6,YES,NO,Farnell,1759407,de.farnell.com/1759407, , , , , , ,
C_OL_APP_VDD,10u low ESR,CPOL-EUA/3216-18R,A/3216-18R,"POLARIZED CAPACITOR, European symbol", ,1,YES,NO,Farnell,1432318,de.farnell.com/1432318,CHECK ESR, , , , , ,
C_OL_FB,1n,C-EUC0603K,C0603K,"CAPACITOR, European symbol","Kondensator, 1nF, 50V, 0603, SMD",1,YES,NO,Farnell,722170,de.farnell.com/722170, , , , , , ,
C_OL_VCOMH,4.7u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,1,YES,NO,Farnell,1833803,de.farnell.com/1833803, , , , , , ,
C_OL_VPP,6.8u low ESR,CPOL-EUA/3216-18R,A/3216-18R,"POLARIZED CAPACITOR, European symbol", ,1,YES,NO,Farnell,1457431,de.farnell.com/1457431,CHECK ESR, , , , , ,
"C_PWR_SW, C_UC_VDDCORE",10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol","Capacitor, 0805, 10uF, 16V",2,YES,NO,Farnell,1288204,de.farnell.com/1288204, , , , , , ,
"C_UC_P7/8, C_UC_P28/29",0.22u,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,2,YES,NO,Farnell,1759403,de.farnell.com/1759403, , , , , , ,
DIOD_OL,MBR0520,MBR0520,SOD123, , ,1,YES,NO,Farnell,1467521,de.farnell.com/1467521, , , , , , ,
LDO,MCP1824,MCP1824,SOT-23-5,MCP1824T-3302E/OT, ,1,YES,NO,Farnell,1578387,de.farnell.com/1578387, , , , , , ,
LIGHTSENSE,TSL250,TSL250,TSL, , ,1,NO,NO,Farnell,1182346,de.farnell.com/1182346, , , , , ,  ,
L_OL,10uH,LQH3NP,1212_FOR_INDUCTANCE, , ,1,YES,NO,Farnell,2219251,de.farnell.com/2219251, , , , , , ,
N_MOS_OL, ,MGSF1N02LT1,SOT-23,MOS FET, ,1,YES,NO,Farnell,9845372,de.farnell.com/9845372, , , , , , ,
PIC_CONTROLLER,PIC_P2V6,PIC_P2V6,QFN44ML8X8, , ,1,YES,NO,Farnell,1706311,de.farnell.com/1706311, , , , , , ,
"R1, R2, R3, R4, R5, R6, R7",10k,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",7,YES,NO,Farnell,1469748,de.farnell.com/1469748, , , , , , ,
R8,0.12 1% 0.5W,RESISTOR_PAN_ERJB3CFR12V,0805_UPSIDEDOWN, , ,1,YES,NO,Farnell,1750969,de.farnell.com/1750969, , , , , , ,
R9,110k 1% 0.125W,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0603, 110K, 1% ",1,YES,NO,Farnell,2138501,de.farnell.com/2138501, , , , , , ,
R10,820k,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,YES,NO,Farnell,2138597,de.farnell.com/2138597, , , , , , ,
"R11, R12",930k 1%,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0603, 931K, 1% ",2,YES,NO,Farnell,2138604,de.farnell.com/2138604, , , , , , ,
RESONATOR,RESONATORPRQC-S,RESONATORPRQC-S,PRQC,Ceramic Resonator with caps, ,1,YES,NO,DigiKey,478-6318-1-ND,http://www.digikey.de/product-detail/de/PRQC12.00CR5010X000/478-6318-1-ND/2506334, , , , , , ,
SDCARD_CON,MICROSD_CONN,MICROSD_CONN,460DA40013, , ,1,YES,NO,Farnell,1686452,de.farnell.com/1686452, , , , , , ,
SMD_CRYSTAL,SMD_CRYSTAL,SMD_CRYSTAL,SMD_CRYSTAL, , ,1,YES,NO,Farnell,2101349,de.farnell.com/2101349, , , , , , ,
USB_CON,USBCON,USBCON,248601,MINI USB 2.0 Connector TypeB, ,1,YES,NO,Farnell,2112367,de.farnell.com/2112367, , , , , , ,
X1,PROGCON,PROGCON,53047-05-OCT,Programmer Connector, ,1,NO, , , , , , , , , , ,
